date de saisie;Activitées;description; Montant Brut ;Type;Années
03/09/2021;Other Operating Income;Vente - Other Operating Income - client 8826;576 771;Revenu;2021
22/03/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 983;875 367;Dépenses;2021
24/03/2021;Retail Sales;Vente - Retail Sales - client 4545;5 714 783;Revenu;2021
08/01/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 783;307 829;Dépenses;2021
14/10/2021;Retail Sales;Vente - Retail Sales - client 9515;11 189 676;Revenu;2021
28/03/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 873;543 821;Dépenses;2021
16/08/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 812;326 875;Dépenses;2021
08/08/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 673;371 472;Dépenses;2021
10/01/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 578;388 149;Dépenses;2021
02/04/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 956;58 040;Dépenses;2021
08/07/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 684;530 665;Dépenses;2021
18/12/2021;Depreciation;Charge - Depreciation - fournisseur 715;700 919;Dépenses;2021
07/01/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 358;456 566;Dépenses;2021
15/12/2021;Rent;Charge - Rent - fournisseur 501;227 324;Dépenses;2021
14/07/2021;Wholesale Sales;Vente - Wholesale Sales - client 7121;1 538 562;Revenu;2021
01/01/2021;Retail Sales;Vente - Retail Sales - client 2824;3 164 815;Revenu;2021
11/03/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 624;271 650;Dépenses;2021
07/08/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 925;496 300;Dépenses;2021
22/12/2021;Export Sales;Vente - Export Sales - client 3267;1 614 641;Revenu;2021
25/08/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 485;563 556;Dépenses;2021
17/06/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 685;1 447 480;Dépenses;2021
25/07/2021;Retail Sales;Vente - Retail Sales - client 8319;3 145 515;Revenu;2021
18/10/2021;Export Sales;Vente - Export Sales - client 2978;909 935;Revenu;2021
14/02/2021;Retail Sales;Vente - Retail Sales - client 6139;4 389 999;Revenu;2021
26/01/2021;Maintenance;Charge - Maintenance - fournisseur 621;120 102;Dépenses;2021
10/08/2021;Other Operating Income;Vente - Other Operating Income - client 3230;383 353;Revenu;2021
22/08/2021;Retail Sales;Vente - Retail Sales - client 7375;7 032 836;Revenu;2021
08/06/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 897;433 354;Dépenses;2021
11/12/2021;Professional fees;Charge - Professional fees - fournisseur 901;151 296;Dépenses;2021
25/09/2021;Rent;Charge - Rent - fournisseur 461;265 670;Dépenses;2021
15/06/2021;Wholesale Sales;Vente - Wholesale Sales - client 2215;2 256 633;Revenu;2021
03/05/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 338;437 509;Dépenses;2021
26/10/2021;Wholesale Sales;Vente - Wholesale Sales - client 6161;5 759 342;Revenu;2021
11/03/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 618;646 690;Dépenses;2021
24/06/2021;Maintenance;Charge - Maintenance - fournisseur 747;97 845;Dépenses;2021
02/03/2021;Retail Sales;Vente - Retail Sales - client 5494;5 602 565;Revenu;2021
22/01/2021;Other Operating Income;Vente - Other Operating Income - client 1188;297 994;Revenu;2021
08/10/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 738;846 398;Dépenses;2021
14/06/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 312;282 453;Dépenses;2021
19/08/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 660;411 145;Dépenses;2021
22/12/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 870;975 863;Dépenses;2021
13/04/2021;Depreciation;Charge - Depreciation - fournisseur 787;183 606;Dépenses;2021
07/12/2021;Retail Sales;Vente - Retail Sales - client 3508;10 512 350;Revenu;2021
03/05/2021;Retail Sales;Vente - Retail Sales - client 6482;5 051 419;Revenu;2021
10/02/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 449;69 829;Dépenses;2021
28/04/2021;Retail Sales;Vente - Retail Sales - client 7511;3 749 412;Revenu;2021
21/04/2021;Professional fees;Charge - Professional fees - fournisseur 991;84 514;Dépenses;2021
15/02/2021;Export Sales;Vente - Export Sales - client 6279;518 720;Revenu;2021
20/05/2021;Other Operating Income;Vente - Other Operating Income - client 8277;585 153;Revenu;2021
04/09/2021;Wholesale Sales;Vente - Wholesale Sales - client 1752;4 721 379;Revenu;2021
08/05/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 788;404 711;Dépenses;2021
08/08/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 958;1 287 938;Dépenses;2021
04/05/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 526;668 401;Dépenses;2021
02/10/2021;Export Sales;Vente - Export Sales - client 9412;877 821;Revenu;2021
27/03/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 890;644 763;Dépenses;2021
13/06/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 292;5 789 991;Dépenses;2021
21/04/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 870;597 058;Dépenses;2021
23/10/2021;Retail Sales;Vente - Retail Sales - client 3332;10 122 345;Revenu;2021
22/05/2021;Export Sales;Vente - Export Sales - client 1618;914 587;Revenu;2021
15/07/2021;Wholesale Sales;Vente - Wholesale Sales - client 1911;1 919 065;Revenu;2021
27/04/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 577;68 255;Dépenses;2021
18/01/2021;Other Operating Income;Vente - Other Operating Income - client 3646;210 825;Revenu;2021
09/11/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 483;763 364;Dépenses;2021
17/07/2021;Wholesale Sales;Vente - Wholesale Sales - client 2341;1 485 209;Revenu;2021
24/03/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 720;326 613;Dépenses;2021
17/09/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 280;257 012;Dépenses;2021
04/06/2021;Depreciation;Charge - Depreciation - fournisseur 253;177 391;Dépenses;2021
25/08/2021;Wholesale Sales;Vente - Wholesale Sales - client 7499;2 929 593;Revenu;2021
20/11/2021;Capex - Machinery/Equipment;Achat d'équipement de production;-17 912 381;Capex;2021
14/06/2021;Maintenance;Charge - Maintenance - fournisseur 379;105 754;Dépenses;2021
27/11/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 416;;Dépenses;2021
01/07/2021;Depreciation;Charge - Depreciation - fournisseur 212;177 148;Dépenses;2021
21/04/2021;Wholesale Sales;Vente - Wholesale Sales - client 4626;1 356 192;Revenu;2021
23/10/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 582;676 639;Dépenses;2021
24/08/2021;Export Sales;Vente - Export Sales - client 2387;832 822;Revenu;2021
23/08/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 582;283 076;Dépenses;2021
15/08/2021;Export Sales;Vente - Export Sales - client 6050;1 023 295;Revenu;2021
09/05/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 219;850 913;Dépenses;2021
11/02/2021;Professional fees;Charge - Professional fees - fournisseur 464;60 260;Dépenses;2021
27/04/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 873;370 843;Dépenses;2021
08/10/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 982;1 039 133;Dépenses;2021
19/09/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 600;633 084;Dépenses;2021
09/12/2021;Maintenance;Charge - Maintenance - fournisseur 899;125 493;Dépenses;2021
17/04/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 560;75 453;Dépenses;2021
02/01/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 445;4 683 298;Dépenses;2021
18/03/2021;Export Sales;Vente - Export Sales - client 2940;721 079;Revenu;2021
08/10/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 565;343 708;Dépenses;2021
09/09/2021;Export Sales;Vente - Export Sales - client 6905;1 838 350;Revenu;2021
28/01/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 418;378 160;Dépenses;2021
01/10/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 805;1 020 267;Dépenses;2021
10/01/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 930;770 084;Dépenses;2021
02/09/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 823;650 003;Dépenses;2021
19/01/2021;Wholesale Sales;Vente - Wholesale Sales - client 6925;1 946 879;Revenu;2021
01/12/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 427;709 040;Dépenses;2021
11/01/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 749;137 205;Dépenses;2021
01/04/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 858;2 918 890;Dépenses;2021
01/01/2021;Retail Sales;Vente - Retail Sales - client 1520;3 069 082;Revenu;2021
19/10/2021;Other Operating Income;Vente - Other Operating Income - client 2376;876 879;Revenu;2021
09/06/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 452;364 458;Dépenses;2021
23/05/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 977;1 269 958;Dépenses;2021
06/12/2021;Wholesale Sales;Vente - Wholesale Sales - client 5839;2 286 746;Revenu;2021
21/10/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 426;308 304;Dépenses;2021
18/11/2021;Maintenance;Charge - Maintenance - fournisseur 238;81 813;Dépenses;2021
27/01/2021;Other Operating Income;Vente - Other Operating Income - client 5889;307 954;Revenu;2021
13/11/2021;Retail Sales;Vente - Retail Sales - client 7078;5 875 632;Revenu;2021
28/03/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 619;161 957;Dépenses;2021
04/01/2021;Professional fees;Charge - Professional fees - fournisseur 918;87 375;Dépenses;2021
16/11/2021;Depreciation;Charge - Depreciation - fournisseur 362;918 927;Dépenses;2021
06/12/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 659;172 852;Dépenses;2021
10/03/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 782;3 548 687;Dépenses;2021
16/08/2021;Other Operating Income;Vente - Other Operating Income - client 5397;419 508;Revenu;2021
23/06/2021;Wholesale Sales;Vente - Wholesale Sales - client 6286;1 892 580;Revenu;2021
05/11/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 392;749 977;Dépenses;2021
18/04/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 333;2 267 637;Dépenses;2021
16/06/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 878;380 641;Dépenses;2021
13/02/2021;Wholesale Sales;Vente - Wholesale Sales - client 6344;1 434 902;Revenu;2021
10/11/2021;Professional fees;Charge - Professional fees - fournisseur 505;315 880;Dépenses;2021
19/08/2021;Professional fees;Charge - Professional fees - fournisseur 260;184 548;Dépenses;2021
10/02/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 560;1 577 778;Dépenses;2021
21/07/2021;Export Sales;Vente - Export Sales - client 3178;602 675;Revenu;2021
04/03/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 696;240 254;Dépenses;2021
18/10/2021;Loan draw;Emprunt bancaire long terme;42 904 279;Financing;2021
15/05/2021;Retail Sales;Vente - Retail Sales - client 8172;3 597 509;Revenu;2021
23/01/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 885;462 148;Dépenses;2021
21/07/2021;Professional fees;Charge - Professional fees - fournisseur 644;100 019;Dépenses;2021
28/01/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 455;173 942;Dépenses;2021
08/05/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 553;418 092;Dépenses;2021
23/04/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 761;433 305;Dépenses;2021
12/05/2021;Other Operating Income;Vente - Other Operating Income - client 4178;687 412;Revenu;2021
11/07/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 579;615 066;Dépenses;2021
11/01/2021;Retail Sales;Vente - Retail Sales - client 7924;2 941 113;Revenu;2021
21/05/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 971;301 582;Dépenses;2021
26/11/2021;Export Sales;Vente - Export Sales - client 1202;1 063 563;Revenu;2021
24/06/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 844;253 931;Dépenses;2021
12/09/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 723;480 197;Dépenses;2021
22/05/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 997;354 176;Dépenses;2021
09/07/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 252;1 302 752;Dépenses;2021
08/05/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 582;772 388;Dépenses;2021
24/05/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 609;488 532;Dépenses;2021
22/07/2021;Professional fees;Charge - Professional fees - fournisseur 507;85 370;Dépenses;2021
16/02/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 329;371 434;Dépenses;2021
18/07/2021;Rent;Charge - Rent - fournisseur 711;261 516;Dépenses;2021
17/12/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 731;731 844;Dépenses;2021
15/09/2021;Wholesale Sales;Vente - Wholesale Sales - client 3588;4 399 284;Revenu;2021
25/01/2021;Other Operating Income;Vente - Other Operating Income - client 9201;243 917;Revenu;2021
24/02/2021;Wholesale Sales;Vente - Wholesale Sales - client 3041;1 992 291;Revenu;2021
22/12/2021;Wholesale Sales;Vente - Wholesale Sales - client 2654;2 231 497;Revenu;2021
06/08/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 758;6 380 465;Dépenses;2021
12/11/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 427;383 654;Dépenses;2021
14/08/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 873;442 461;Dépenses;2021
04/12/2021;Export Sales;Vente - Export Sales - client 2898;1 881 105;Revenu;2021
25/06/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 574;301 130;Dépenses;2021
17/04/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 664;461 231;Dépenses;2021
25/02/2021;Maintenance;Charge - Maintenance - fournisseur 751;144 610;Dépenses;2021
27/06/2021;Wholesale Sales;Vente - Wholesale Sales - client 1907;1 761 540;Revenu;2021
23/03/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 621;712 240;Dépenses;2021
02/07/2021;Depreciation;Charge - Depreciation - fournisseur 582;210 435;Dépenses;2021
18/02/2021;Other Operating Income;Vente - Other Operating Income - client 9702;432 159;Revenu;2021
21/07/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 552;540 147;Dépenses;2021
28/08/2021;Maintenance;Charge - Maintenance - fournisseur 504;120 922;Dépenses;2021
28/04/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 530;55 774;Dépenses;2021
28/03/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 701;229 832;Dépenses;2021
18/07/2021;Export Sales;Vente - Export Sales - client 2044;359 236;Revenu;2021
14/11/2021;Maintenance;Charge - Maintenance - fournisseur 848;158 495;Dépenses;2021
02/07/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 740;149 211;Dépenses;2021
03/12/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 369;1 497 580;Dépenses;2021
27/08/2021;Maintenance;Charge - Maintenance - fournisseur 755;102 730;Dépenses;2021
09/01/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 991;182 401;Dépenses;2021
03/12/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 440;1 043 896;Dépenses;2021
20/10/2021;Professional fees;Charge - Professional fees - fournisseur 808;213 552;Dépenses;2021
22/11/2021;Wholesale Sales;Vente - Wholesale Sales - client 9773;2 526 631;Revenu;2021
07/07/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 416;755 759;Dépenses;2021
22/12/2021;Retail Sales;Vente - Retail Sales - client 1785;8 162 637;Revenu;2021
07/02/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 932;293 240;Dépenses;2021
02/11/2021;Other Operating Income;Vente - Other Operating Income - client 7581;494 028;Revenu;2021
05/01/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 328;3 986 234;Dépenses;2021
12/01/2021;Depreciation;Charge - Depreciation - fournisseur 240;191 965;Dépenses;2021
02/08/2021;Depreciation;Charge - Depreciation - fournisseur 499;476 394;Dépenses;2021
01/04/2021;Rent;Charge - Rent - fournisseur 646;221 392;Dépenses;2021
20/08/2021;Other Operating Income;Vente - Other Operating Income - client 9123;319 371;Revenu;2021
25/05/2021;Professional fees;Charge - Professional fees - fournisseur 654;119 421;Dépenses;2021
19/12/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 908;519 124;Dépenses;2021
24/11/2021;Maintenance;Charge - Maintenance - fournisseur 841;125 301;Dépenses;2021
09/01/2021;Rent;Charge - Rent - fournisseur 337;74 999;Dépenses;2021
12/03/2021;Retail Sales;Vente - Retail Sales - client 4727;4 385 240;Revenu;2021
22/03/2021;Depreciation;Charge - Depreciation - fournisseur 779;188 956;Dépenses;2021
04/10/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 363;1 402 103;Dépenses;2021
02/06/2021;Export Sales;Vente - Export Sales - client 2330;670 970;Revenu;2021
19/01/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 836;181 617;Dépenses;2021
19/06/2021;Export Sales;Vente - Export Sales - client 3762;621 168;Revenu;2021
15/04/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 680;61 884;Dépenses;2021
20/06/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 535;1 096 434;Dépenses;2021
23/01/2021;Depreciation;Charge - Depreciation - fournisseur 764;193 167;Dépenses;2021
25/02/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 484;266 208;Dépenses;2021
12/04/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 620;523 503;Dépenses;2021
01/06/2021;Professional fees;Charge - Professional fees - fournisseur 238;76 481;Dépenses;2021
08/02/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 231;374 723;Dépenses;2021
07/04/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 719;459 707;Dépenses;2021
22/10/2021;Rent;Charge - Rent - fournisseur 925;754 554;Dépenses;2021
20/02/2021;Export Sales;Vente - Export Sales - client 8784;625 694;Revenu;2021
01/02/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 681;260 300;Dépenses;2021
12/02/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 985;295 589;Dépenses;2021
21/03/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 646;1 027 659;Dépenses;2021
13/04/2021;Rent;Charge - Rent - fournisseur 332;188 070;Dépenses;2021
02/04/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 938;667 611;Dépenses;2021
25/12/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 737;10 530 884;Dépenses;2021
19/08/2021;Professional fees;Charge - Professional fees - fournisseur 955;129 308;Dépenses;2021
28/09/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 653;555 577;Dépenses;2021
18/10/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 704;1 050 730;Dépenses;2021
09/10/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 753;120 300;Dépenses;2021
22/01/2021;Export Sales;Vente - Export Sales - client 4598;377 316;Revenu;2021
15/04/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 640;582 834;Dépenses;2021
03/11/2021;Retail Sales;Vente - Retail Sales - client 2584;4 146 108;Revenu;2021
25/03/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 837;224 956;Dépenses;2021
17/04/2021;Maintenance;Charge - Maintenance - fournisseur 743;198 321;Dépenses;2021
16/04/2021;Retail Sales;Vente - Retail Sales - client 4830;4 318 891;Revenu;2021
15/05/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 930;95 107;Dépenses;2021
15/12/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 661;571 753;Dépenses;2021
10/06/2021;Professional fees;Charge - Professional fees - fournisseur 543;96 956;Dépenses;2021
09/05/2021;Professional fees;Charge - Professional fees - fournisseur 993;58 361;Dépenses;2021
04/06/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 825;741 639;Dépenses;2021
11/11/2021;Rent;Charge - Rent - fournisseur 699;336 838;Dépenses;2021
20/01/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 270;378 993;Dépenses;2021
24/01/2021;Export Sales;Vente - Export Sales - client 5304;506 913;Revenu;2021
26/02/2021;Other Operating Income;Vente - Other Operating Income - client 3881;480 772;Revenu;2021
25/03/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 765;304 656;Dépenses;2021
06/11/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 862;604 742;Dépenses;2021
04/03/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 650;306 721;Dépenses;2021
24/07/2021;Rent;Charge - Rent - fournisseur 700;239 026;Dépenses;2021
28/01/2021;Maintenance;Charge - Maintenance - fournisseur 442;153 424;Dépenses;2021
16/10/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 854;469 429;Dépenses;2021
28/01/2021;Rent;Charge - Rent - fournisseur 849;133 375;Dépenses;2021
28/07/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 660;1 206 720;Dépenses;2021
09/06/2021;Depreciation;Charge - Depreciation - fournisseur 912;154 871;Dépenses;2021
19/10/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 602;118 083;Dépenses;2021
23/12/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 677;102 581;Dépenses;2021
08/03/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 683;537 094;Dépenses;2021
07/11/2021;Wholesale Sales;Vente - Wholesale Sales - client 8133;3 621 358;Revenu;2021
09/05/2021;Depreciation;Charge - Depreciation - fournisseur 645;414 420;Dépenses;2021
19/03/2021;Maintenance;Charge - Maintenance - fournisseur 553;150 593;Dépenses;2021
05/05/2021;Export Sales;Vente - Export Sales - client 7172;859 170;Revenu;2021
25/02/2021;Rent;Charge - Rent - fournisseur 913;418 836;Dépenses;2021
12/06/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 771;999 143;Dépenses;2021
25/09/2021;Professional fees;Charge - Professional fees - fournisseur 489;94 675;Dépenses;2021
15/08/2021;Other Operating Income;Vente - Other Operating Income - client 6399;256 520;Revenu;2021
28/06/2021;Wholesale Sales;Vente - Wholesale Sales - client 5653;1 724 834;Revenu;2021
01/10/2021;Depreciation;Charge - Depreciation - fournisseur 937;875 665;Dépenses;2021
15/05/2021;Depreciation;Charge - Depreciation - fournisseur 559;433 156;Dépenses;2021
03/03/2021;Other Operating Income;Vente - Other Operating Income - client 8438;431 432;Revenu;2021
16/11/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 310;483 577;Dépenses;2021
18/06/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 492;-214 892;Dépenses;2021
17/05/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 823;1 579 715;Dépenses;2021
18/01/2021;Factory Overheads (Utilities);Charge - Factory Overheads (Utilities) - fournisseur 394;154 289;Dépenses;2021
15/08/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 600;1 122 276;Dépenses;2021
03/07/2021;Retail Sales;Vente - Retail Sales - client 6372;2 288 442;Revenu;2021
03/12/2021;Wholesale Sales;Vente - Wholesale Sales - client 9383;2 473 903;Revenu;2021
11/10/2021;Marketing & Sales;Charge - Marketing & Sales - fournisseur 509;689 870;Dépenses;2021
27/11/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 416;7 309 465;Dépenses;2021
12/11/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 539;437 620;Dépenses;2021
27/04/2021;Maintenance;Charge - Maintenance - fournisseur 860;169 890;Dépenses;2021
22/08/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 860;907 879;Dépenses;2021
22/12/2021;Professional fees;Charge - Professional fees - fournisseur 909;105 400;Dépenses;2021
24/12/2021;Professional fees;Charge - Professional fees - fournisseur 759;106 721;Dépenses;2021
16/11/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 272;334 780;Dépenses;2021
26/09/2021;Retail Sales;Vente - Retail Sales - client 2037;4 333 214;Revenu;2021
02/06/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 712;951 608;Dépenses;2021
04/05/2021;Other operating Dépensess;Charge - Other operating Dépensess - fournisseur 404;83 628;Dépenses;2021
04/04/2021;Raw Materials Purchases;Charge - Raw Materials Purchases - fournisseur 807;2 650 441;Dépenses;2021
21/12/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 247;454 402;Dépenses;2021
13/02/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 466;915 481;Dépenses;2021
12/05/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 596;414 634;Dépenses;2021
02/04/2021;Export Sales;Vente - Export Sales - client 1349;541 940;Revenu;2021
14/10/2021;Wholesale Sales;Vente - Wholesale Sales - client 2020;5 577 009;Revenu;2021
19/04/2021;Retail Sales;Vente - Retail Sales - client 5295;2 885 283;Revenu;2021
23/12/2021;Other Operating Income;Vente - Other Operating Income - client 3171;573 023;Revenu;2021
03/05/2021;Maintenance;Charge - Maintenance - fournisseur 329;171 006;Dépenses;2021
24/12/2021;Rent;Charge - Rent - fournisseur 928;233 277;Dépenses;2021
03/01/2021;Direct Labor (Production);Charge - Direct Labor (Production) - fournisseur 434;1 272 520;Dépenses;2021
01/02/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 912;994 361;Dépenses;2021
10/06/2021;Other Operating Income;Vente - Other Operating Income - client 9938;191 995;Revenu;2021
16/09/2021;Retail Sales;Vente - Retail Sales - client 4470;2 359 050;Revenu;2021
26/04/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 431;397 039;Dépenses;2021
12/05/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 736;282 117;Dépenses;2021
20/10/2021;Logistics & Distribution;Charge - Logistics & Distribution - fournisseur 438;776 545;Dépenses;2021
18/01/2021;Depreciation;Charge - Depreciation - fournisseur 998;236 756;Dépenses;2021
26/06/2021;Maintenance;Charge - Maintenance - fournisseur 606;137 604;Dépenses;2021
14/08/2021;Rent;Charge - Rent - fournisseur 592;110 134;Dépenses;2021
01/09/2021;Administrative Salaries;Charge - Administrative Salaries - fournisseur 989;354 082;Dépenses;2021
18/12/2021;Depreciation;Charge - Depreciation - fournisseur 560;954 131;Dépenses;2021
06/10/2021;Packaging Purchases;Charge - Packaging Purchases - fournisseur 636;825 974;Dépenses;2021
08/07/2021;Retail Sales;Vente - Retail Sales - client 4618;2 997 556;Revenu;2021
